"pop","exposure","pop_exposure"
"Funhe2EKm000061",0.399518719045157,0.000728527707171865,0.0593768479020446
"Funhe2EKm000062",5.15765590991004e-08,0.014917169855858,0.457666946868353
"Funhe2EKm000063",0.132192593731045,0.0206463383340388,0.654710717606557
"Funhe2EKm000064",0.731827414893445,0.0275775304205393,0.0558164283185638
"Funhe2EKm000065",0.216172640865574,0.010399341152302,0.734002058142471
"Funhe2EKm000066",0.669241276034757,0.00329492896866339,0.573784605942745
"Funhe2EKm000067",0.39426266668967,0.000285529336914251,0.241162433381458
"Funhe2EKm000068",0.00531067006836015,0.90256502725856,0.355261998624385
"Funhe2EKm000069",0.00630816755288356,0.083734194104864,0.428734030307427
"Funhe2EKm000070",0.166700107094602,0.314581974620044,0.948598026093926
"Funhe2EKm000071",0.0181109644690919,0.311779051547079,0.865702591420042
"Funhe2EKm000073",0.00827455458519915,0.492656832012899,0.510774429215279
"Funhe2EKm000075",0.00142197055989853,0.0225836372606062,0.588211945508001
"Funhe2EKm000077",0.300581993224469,0.0241235815227427,0.334663245823107
"Funhe2EKm000078",0.0109572760387319,0.547719084242222,0.127741421726185
"Funhe2EKm000079",0.000654942486998136,0.00460081779812514,0.557417180584453
"Funhe2EKm000081",1.88848531570273e-05,1.68084674322389e-06,0.0756046587014205
"Funhe2EKm000084",0.0190464088724572,0.080062126148263,0.120091237584043
"Funhe2EKm000085",0.0130529347121515,0.132793118602962,0.938958774837911
"Funhe2EKm000086",0.000314940299458595,0.199912859393581,0.620960246777813
"Funhe2EKm000087",0.970841496654591,0.203754093458578,0.0439320675570077
"Funhe2EKm000088",2.6797282722736e-06,0.0624169141769497,0.778195473225063
"Funhe2EKm000089",0.0927455036248341,2.57474055553352e-08,0.715993825698767
"Funhe2EKm000090",0.327143861491168,0.133049460693321,0.146317627129834
"Funhe2EKm000091",0.0414989033471675,0.0834680302902168,0.971319106841055
"Funhe2EKm000092",0.387440271579056,0.0910484919604762,0.491085447949331
"Funhe2EKm000093",0.641701250356091,0.225080359003708,0.562293951150319
"Funhe2EKm000094",0.00467468761861952,0.490812874772973,0.726030733368031
"Funhe2EKm000095",0.415959949385674,0.0180157402597854,0.0795530089446138
"Funhe2EKm000096",0.276756559238618,0.359878963431234,0.497041437180355
"Funhe2EKm000097",0.145133829945302,0.698708448052281,0.952161353006938
"Funhe2EKm000098",0.365761895756226,0.140440465899404,0.368957673946943
"Funhe2EKm000099",0.959304871165831,0.351277529304444,0.82677007892208
"Funhe2EKm000100",0.793507058012486,1.25124189162353e-06,0.0625388822405833
"Funhe2EKm000101",0.232704859854874,0.025773097811527,0.81606742212288
